27
Latitude Longitude
39.754949 -104.977992
39.753313 -104.978007
39.754635 -104.973287
39.749603 -104.973272
39.749603 -104.974522
39.749608 -104.975712
39.749615 -104.976883
39.749562 -104.978009
39.755371 -104.973819
39.752047 -104.973199
39.752116 -104.974516
39.752117 -104.975711
39.751931 -104.976821
39.753386 -104.976904
39.75337 -104.97571
39.753369 -104.974512
39.753316 -104.973203
39.750811 -104.978021
39.750861 -104.977056
39.750868 -104.97571
39.74857 -104.976861
39.750843 -104.97327
39.75087 -104.974511
39.754519 -104.974509
39.754838 -104.974621
39.754506 -104.975701
39.755076 -104.975784
39.749 -104.978
39.749 -104.977
39.749 -104.9757
39.749 -104.9745
39.749 -104.9733
39.749611111111115 -104.978
39.749611111111115 -104.977
39.749611111111115 -104.9757
39.749611111111115 -104.9745
39.749611111111115 -104.9733
39.75022222222223 -104.978
39.75022222222223 -104.977
39.75022222222223 -104.9757
39.75022222222223 -104.9745
39.75022222222223 -104.9733
39.75083333333333 -104.978
39.75083333333333 -104.977
39.75083333333333 -104.9757
39.75083333333333 -104.9745
39.75083333333333 -104.9733
39.751444444444445 -104.978
39.751444444444445 -104.977
39.751444444444445 -104.9757
39.751444444444445 -104.9745
39.751444444444445 -104.9733
39.75205555555556 -104.978
39.75205555555556 -104.977
39.75205555555556 -104.9757
39.75205555555556 -104.9745
39.75205555555556 -104.9733
39.75266666666667 -104.978
39.75266666666667 -104.977
39.75266666666667 -104.9757
39.75266666666667 -104.9745
39.75266666666667 -104.9733
39.753277777777775 -104.978
39.753277777777775 -104.977
39.753277777777775 -104.9757
39.753277777777775 -104.9745
39.753277777777775 -104.9733
39.75388888888889 -104.978
39.75388888888889 -104.977
39.75388888888889 -104.9757
39.75388888888889 -104.9745
39.75388888888889 -104.9733
39.7545 -104.978
39.7545 -104.977
39.7545 -104.9757
39.7545 -104.9745
39.7545 -104.9733
